source_route,source_type,destination_route,anchor_text,placement,purpose,priority,migration_phase,notes
/blog/clinic-rebooking-physio-chiro-uk,article,/services/physios-chiropractors,Physio & Chiropractic Clinics services,article body or end card,Industry parent,P0,Phase A,
/blog/clinic-rebooking-physio-chiro-uk,article,/services/ai-receptionists,AI Receptionists,article body or CTA,Service conversion,P0,Phase A,
/services/physios-chiropractors,industry,/blog/ai-appointment-reminders-uk-2026,Ai Appointment Reminders Uk 2026,related insights,Educational support,P1,Phase A,
/blog/ai-appointment-reminders-uk-2026,article,/services/physios-chiropractors,Physio & Chiropractic Clinics services,article body or end card,Industry parent,P0,Phase A,
/blog/ai-appointment-reminders-uk-2026,article,/services/ai-receptionists,AI Receptionists,article body or CTA,Service conversion,P0,Phase A,
/services/dentists,industry,/services/ai-receptionists,AI Receptionists,relevant services,Commercial path,P0,Phase A,
/services/dentists,industry,/services/ai-voice-agents,AI Voice Agents,relevant services,Commercial path,P0,Phase A,
/services/dentists,industry,/services/ai-automation,AI Automation & Agent Workflows,relevant services,Commercial path,P0,Phase A,
/services/dentists,industry,/services/app-development,Custom App Development,relevant services,Commercial path,P0,Phase A,
/services/dentists,industry,/blog/ai-missed-call-recovery-dentists-uk,Ai Missed Call Recovery Dentists Uk,related insights,Educational support,P1,Phase A,
/blog/ai-missed-call-recovery-dentists-uk,article,/services/dentists,Dental Practices services,article body or end card,Industry parent,P0,Phase A,
/blog/ai-missed-call-recovery-dentists-uk,article,/services/ai-receptionists,AI Receptionists,article body or CTA,Service conversion,P0,Phase A,
/services/dentists,industry,/blog/dental-intake-e-consent-automation-uk,Dental Intake E Consent Automation Uk,related insights,Educational support,P1,Phase A,
/blog/dental-intake-e-consent-automation-uk,article,/services/dentists,Dental Practices services,article body or end card,Industry parent,P0,Phase A,
/blog/dental-intake-e-consent-automation-uk,article,/services/ai-receptionists,AI Receptionists,article body or CTA,Service conversion,P0,Phase A,
/services/dentists,industry,/blog/dental-recall-automation-uk-2026,Dental Recall Automation Uk 2026,related insights,Educational support,P1,Phase A,
/blog/dental-recall-automation-uk-2026,article,/services/dentists,Dental Practices services,article body or end card,Industry parent,P0,Phase A,
/blog/dental-recall-automation-uk-2026,article,/services/ai-receptionists,AI Receptionists,article body or CTA,Service conversion,P0,Phase A,
/services/gyms-fitness-studios,industry,/services/ai-receptionists,AI Receptionists,relevant services,Commercial path,P0,Phase A,
/services/gyms-fitness-studios,industry,/services/ai-automation,AI Automation & Agent Workflows,relevant services,Commercial path,P0,Phase A,
/services/gyms-fitness-studios,industry,/services/content-creation,Content Creation & Repurposing,relevant services,Commercial path,P0,Phase A,
/services/gyms-fitness-studios,industry,/services/app-development,Custom App Development,relevant services,Commercial path,P0,Phase A,
/services/gyms-fitness-studios,industry,/blog/ai-win-back-journeys-gyms-uk,Ai Win Back Journeys Gyms Uk,related insights,Educational support,P1,Phase A,
/blog/ai-win-back-journeys-gyms-uk,article,/services/gyms-fitness-studios,Gyms & Fitness Studios services,article body or end card,Industry parent,P0,Phase A,
/blog/ai-win-back-journeys-gyms-uk,article,/services/ai-receptionists,AI Receptionists,article body or CTA,Service conversion,P0,Phase A,
/services/gyms-fitness-studios,industry,/blog/gym-booking-automation-uk-gyms-studios-2026,Gym Booking Automation Uk Gyms Studios 2026,related insights,Educational support,P1,Phase A,
/blog/gym-booking-automation-uk-gyms-studios-2026,article,/services/gyms-fitness-studios,Gyms & Fitness Studios services,article body or end card,Industry parent,P0,Phase A,
/blog/gym-booking-automation-uk-gyms-studios-2026,article,/services/ai-receptionists,AI Receptionists,article body or CTA,Service conversion,P0,Phase A,
/services/fitness-coaches,industry,/services/ai-receptionists,AI Receptionists,relevant services,Commercial path,P0,Phase A,
/services/fitness-coaches,industry,/services/ai-automation,AI Automation & Agent Workflows,relevant services,Commercial path,P0,Phase A,
/services/fitness-coaches,industry,/services/content-creation,Content Creation & Repurposing,relevant services,Commercial path,P0,Phase A,
/services/fitness-coaches,industry,/services/web-design-development,Web Design & Development,relevant services,Commercial path,P0,Phase A,
/services/fitness-coaches,industry,/blog/ai-lead-scoring-fitness-coaches-uk,Ai Lead Scoring Fitness Coaches Uk,related insights,Educational support,P1,Phase A,
/blog/ai-lead-scoring-fitness-coaches-uk,article,/services/fitness-coaches,Fitness Coaches services,article body or end card,Industry parent,P0,Phase A,
/blog/ai-lead-scoring-fitness-coaches-uk,article,/services/ai-receptionists,AI Receptionists,article body or CTA,Service conversion,P0,Phase A,
/services/fitness-coaches,industry,/blog/dm-to-client-automation-uk-fitness-coaches-2026,Dm To Client Automation Uk Fitness Coaches 2026,related insights,Educational support,P1,Phase A,
/blog/dm-to-client-automation-uk-fitness-coaches-2026,article,/services/fitness-coaches,Fitness Coaches services,article body or end card,Industry parent,P0,Phase A,
/blog/dm-to-client-automation-uk-fitness-coaches-2026,article,/services/ai-receptionists,AI Receptionists,article body or CTA,Service conversion,P0,Phase A,
/blog/ai-automation-failures-uk-smes-2026,article,/services/ai-automation,AI Automation & Agent Workflows,article CTA,Service conversion,P0,Phase A,
/blog/ai-automation-failures-uk-smes-2026,article,/blog,More practical guides,breadcrumb or footer,Hub return,P1,Phase A,
/blog/ai-automation-uk-gdpr-2026-sme-guide,article,/services/ai-automation,AI Automation & Agent Workflows,article CTA,Service conversion,P0,Phase A,
/blog/ai-automation-uk-gdpr-2026-sme-guide,article,/blog,More practical guides,breadcrumb or footer,Hub return,P1,Phase A,
/blog/ai-document-automation-uk-smes-2026,article,/services/ai-automation,AI Automation & Agent Workflows,article CTA,Service conversion,P0,Phase A,
/blog/ai-document-automation-uk-smes-2026,article,/blog,More practical guides,breadcrumb or footer,Hub return,P1,Phase A,
/blog/ai-receptionist-small-business-2026,article,/services/ai-receptionists,AI Receptionists,article CTA,Service conversion,P0,Phase A,
/blog/ai-receptionist-small-business-2026,article,/blog,More practical guides,breadcrumb or footer,Hub return,P1,Phase A,
/blog/ai-receptionist-uk-costs-roi-2026,article,/services/ai-receptionists,AI Receptionists,article CTA,Service conversion,P0,Phase A,
/blog/ai-receptionist-uk-costs-roi-2026,article,/blog,More practical guides,breadcrumb or footer,Hub return,P1,Phase A,
/blog/ai-voice-agents-uk-smes-2026,article,/services/ai-voice-agents,AI Voice Agents,article CTA,Service conversion,P0,Phase A,
/blog/ai-voice-agents-uk-smes-2026,article,/blog,More practical guides,breadcrumb or footer,Hub return,P1,Phase A,
/blog/ai-website-tools-uk-small-businesses-2026,article,/services/web-design-development,Web Design & Development,article CTA,Service conversion,P0,Phase A,
/blog/ai-website-tools-uk-small-businesses-2026,article,/blog,More practical guides,breadcrumb or footer,Hub return,P1,Phase A,
/blog/ai-appointment-reminders-uk-2026,current route,/book,Book a discovery call,contextual CTA or footer,Primary conversion,P0,Phase A,
/blog/ai-automation-failures-uk-smes-2026,current route,/book,Book a discovery call,contextual CTA or footer,Primary conversion,P0,Phase A,
/blog/ai-automation-uk-gdpr-2026-sme-guide,current route,/book,Book a discovery call,contextual CTA or footer,Primary conversion,P0,Phase A,
/blog/ai-automations-physio-chiro-clinics-uk,current route,/book,Book a discovery call,contextual CTA or footer,Primary conversion,P0,Phase A,
/blog/ai-booking-automation-uk-hospitality-2026,current route,/book,Book a discovery call,contextual CTA or footer,Primary conversion,P0,Phase A,
/blog/ai-call-answering-trades-uk,current route,/book,Book a discovery call,contextual CTA or footer,Primary conversion,P0,Phase A,
/blog/ai-document-automation-uk-smes-2026,current route,/book,Book a discovery call,contextual CTA or footer,Primary conversion,P0,Phase A,
/blog/ai-etas-smart-scheduling-uk-trades-2026,current route,/book,Book a discovery call,contextual CTA or footer,Primary conversion,P0,Phase A,
/blog/ai-guest-concierge-hotels-bbs-uk,current route,/book,Book a discovery call,contextual CTA or footer,Primary conversion,P0,Phase A,
/blog/ai-lead-capture-trades-uk-2026,current route,/book,Book a discovery call,contextual CTA or footer,Primary conversion,P0,Phase A,
/blog/ai-lead-capture-uk-trades-2026,current route,/book,Book a discovery call,contextual CTA or footer,Primary conversion,P0,Phase A,
/blog/ai-lead-qualification-estate-agents-2026,current route,/book,Book a discovery call,contextual CTA or footer,Primary conversion,P0,Phase A,
/blog/ai-lead-scoring-fitness-coaches-uk,current route,/book,Book a discovery call,contextual CTA or footer,Primary conversion,P0,Phase A,
/blog/ai-missed-call-recovery-dentists-uk,current route,/book,Book a discovery call,contextual CTA or footer,Primary conversion,P0,Phase A,
/blog/ai-no-show-reduction-uk-salons-barbers,current route,/book,Book a discovery call,contextual CTA or footer,Primary conversion,P0,Phase A,
/blog/ai-quote-follow-up-trades,current route,/book,Book a discovery call,contextual CTA or footer,Primary conversion,P0,Phase A,
/blog/ai-rebooking-journeys-salons-uk,current route,/book,Book a discovery call,contextual CTA or footer,Primary conversion,P0,Phase A,
/blog/ai-receptionist-small-business-2026,current route,/book,Book a discovery call,contextual CTA or footer,Primary conversion,P0,Phase A,
/blog/ai-receptionist-uk-costs-roi-2026,current route,/book,Book a discovery call,contextual CTA or footer,Primary conversion,P0,Phase A,
/blog/ai-returns-triage-ecommerce-uk,current route,/book,Book a discovery call,contextual CTA or footer,Primary conversion,P0,Phase A,
/blog/ai-viewing-feedback-estate-agents-uk,current route,/book,Book a discovery call,contextual CTA or footer,Primary conversion,P0,Phase A,
/blog/ai-voice-agents-uk-smes-2026,current route,/book,Book a discovery call,contextual CTA or footer,Primary conversion,P0,Phase A,
/blog/ai-website-tools-uk-small-businesses-2026,current route,/book,Book a discovery call,contextual CTA or footer,Primary conversion,P0,Phase A,
/blog/ai-win-back-journeys-gyms-uk,current route,/book,Book a discovery call,contextual CTA or footer,Primary conversion,P0,Phase A,
/blog/clinic-rebooking-physio-chiro-uk,current route,/book,Book a discovery call,contextual CTA or footer,Primary conversion,P0,Phase A,
/blog/dental-intake-e-consent-automation-uk,current route,/book,Book a discovery call,contextual CTA or footer,Primary conversion,P0,Phase A,
/blog/dental-recall-automation-uk-2026,current route,/book,Book a discovery call,contextual CTA or footer,Primary conversion,P0,Phase A,
/blog/dm-to-client-automation-uk-fitness-coaches-2026,current route,/book,Book a discovery call,contextual CTA or footer,Primary conversion,P0,Phase A,
/blog/estate-agent-viewing-confirmations-uk,current route,/book,Book a discovery call,contextual CTA or footer,Primary conversion,P0,Phase A,
/blog/gym-booking-automation-uk-gyms-studios-2026,current route,/book,Book a discovery call,contextual CTA or footer,Primary conversion,P0,Phase A,
/blog/post-purchase-automation-uk-ecommerce-repeat-customers,current route,/book,Book a discovery call,contextual CTA or footer,Primary conversion,P0,Phase A,
/blog/quote-chase-automation-uk-trades-accepted-jobs-2026,current route,/book,Book a discovery call,contextual CTA or footer,Primary conversion,P0,Phase A,
/blog/quote-follow-up-automation-uk-trades-2026,current route,/book,Book a discovery call,contextual CTA or footer,Primary conversion,P0,Phase A,
