"route_key","file","group","route","canonical","title","h1","meta_description","word_count","bytes","schema_types","repo_indexable","sitemap_member","live_status","live_final_url","live_h1_count","live_broken_image_count","rendered_horizontal_overflow","internal_inlinks","internal_outlinks","nearest_structure_file","nearest_structure_similarity","parallax","shader","analytics","url_disposition","implementation_disposition","content_disposition","evidence_basis","risk_notes"
"canonical:/blog/ai-win-back-journeys-gyms-uk","blog/ai-win-back-journeys-gyms-uk.html","blog","/blog/ai-win-back-journeys-gyms-uk","https://silverstone-ai.com/blog/ai-win-back-journeys-gyms-uk","AI Win-Back Journeys for Gyms | Silverstone AI","How UK Gyms and Fitness Studios Can Use AI Win-Back Journeys to Reactivate Inactive Members","Learn how UK gyms and fitness studios can use AI win-back journeys to re-engage inactive members, reduce churn, and recover revenue without blanket discounts.","2194","29954","BlogPosting | BreadcrumbList | ImageObject | ListItem | Organization","true","yes","200","https://silverstone-ai.com/blog/ai-win-back-journeys-gyms-uk","1","0","false","3","19","blog/ai-call-answering-trades-uk.html","0.9815","true","false","true","retain","refactor","refactor","repository evidence + live HTTP + live browser","3 images lack width/height"
"canonical:/blog/clinic-rebooking-physio-chiro-uk","blog/clinic-rebooking-physio-chiro-uk.html","blog","/blog/clinic-rebooking-physio-chiro-uk","https://silverstone-ai.com/blog/clinic-rebooking-physio-chiro-uk","Clinic Rebooking Automation for Physios | Silverstone AI","How UK Physio and Chiropractic Clinics Can Automate Rebooking to Keep Patients on Plan","Learn how UK physio and chiropractic clinics can automate rebooking, reduce patient drop-off, and keep treatment plans moving with less admin.","2145","31209","BlogPosting | BreadcrumbList | ImageObject | ListItem | Organization","true","yes","200","https://silverstone-ai.com/blog/clinic-rebooking-physio-chiro-uk","1","0","false","3","19","blog/ai-missed-call-recovery-dentists-uk.html","0.9924","true","false","true","retain","refactor","refactor","repository evidence + live HTTP + live browser","3 images lack width/height"
"canonical:/blog/dental-intake-e-consent-automation-uk","blog/dental-intake-e-consent-automation-uk.html","blog","/blog/dental-intake-e-consent-automation-uk","https://silverstone-ai.com/blog/dental-intake-e-consent-automation-uk","Dental Intake and E-Consent Automation - Silverstone AI","How UK dental practices can automate patient intake and e‑consent to cut admin, speed treatment starts and","A practical guide for UK dental practices to automate patient intake and e‑consent, cut reception admin, speed treatment starts, and keep GDPR‑compliant records.","1596","31424","BlogPosting | BreadcrumbList | ImageObject | ListItem | Organization","true","yes","200","https://silverstone-ai.com/blog/dental-intake-e-consent-automation-uk","1","0","false","2","17","blog/estate-agent-viewing-confirmations-uk.html","0.9992","true","false","true","retain","refactor","refactor","repository evidence + live HTTP + live browser","3 images lack width/height"
"canonical:/blog/dental-recall-automation-uk-2026","blog/dental-recall-automation-uk-2026.html","blog","/blog/dental-recall-automation-uk-2026","https://silverstone-ai.com/blog/dental-recall-automation-uk-2026","Dental Recall Automation for UK Practices | Silverstone AI","Dental Recall Automation for UK Practices: Fill More Hygiene Appointments and Reduce DNAs in 2026","A practical guide for UK dental practices on automating recalls, reminders, and DNA follow-up to fill more hygiene appointments and reduce reception workload.","1958","30649","BlogPosting | BreadcrumbList | ImageObject | ListItem | Organization | WebPage","true","yes","200","https://silverstone-ai.com/blog/dental-recall-automation-uk-2026","1","0","false","3","21","blog/post-purchase-automation-uk-ecommerce-repeat-customers.html","0.995","true","false","true","retain","refactor","refactor","repository evidence + live HTTP + live browser","3 images lack width/height"
"canonical:/blog/dm-to-client-automation-uk-fitness-coaches-2026","blog/dm-to-client-automation-uk-fitness-coaches-2026.html","blog","/blog/dm-to-client-automation-uk-fitness-coaches-2026","https://silverstone-ai.com/blog/dm-to-client-automation-uk-fitness-coaches-2026","DM Automation for UK Fitness Coaches | Silverstone AI","3-Step DM-to-Client Automation for UK Fitness Coaches: Close More Clients Without Living in Your Inbox","A practical 3-step system for UK fitness coaches to turn Instagram DMs into booked calls or paid clients with faster replies and compliant follow-up.","2031","30798","BlogPosting | BreadcrumbList | ImageObject | ListItem | Organization | WebPage","true","yes","200","https://silverstone-ai.com/blog/dm-to-client-automation-uk-fitness-coaches-2026","1","0","false","3","22","blog/dental-recall-automation-uk-2026.html","0.9945","true","false","true","retain","refactor","refactor","repository evidence + live HTTP + live browser","3 images lack width/height"
"canonical:/blog/estate-agent-viewing-confirmations-uk","blog/estate-agent-viewing-confirmations-uk.html","blog","/blog/estate-agent-viewing-confirmations-uk","https://silverstone-ai.com/blog/estate-agent-viewing-confirmations-uk","Estate Agent Viewing Confirmations | Silverstone AI","How small UK estate agents can use automated viewing confirmations to cut no-shows and win instructions","A practical guide for small UK estate agents to implement automated viewing confirmations, reduce no-shows, improve diary utilisation, and speed vendor follow-up.","1618","31799","BlogPosting | BreadcrumbList | ImageObject | ListItem | Organization","true","yes","200","https://silverstone-ai.com/blog/estate-agent-viewing-confirmations-uk","1","0","false","2","18","blog/dental-intake-e-consent-automation-uk.html","0.9992","true","false","true","retain","refactor","refactor","repository evidence + live HTTP + live browser","3 images lack width/height"
"canonical:/blog/gym-booking-automation-uk-gyms-studios-2026","blog/gym-booking-automation-uk-gyms-studios-2026.html","blog","/blog/gym-booking-automation-uk-gyms-studios-2026","https://silverstone-ai.com/blog/gym-booking-automation-uk-gyms-studios-2026","Gym Booking Automation for UK Studios | Silverstone AI","How to fill more classes and cut no-shows: a practical automation guide for UK gyms and studios","A practical guide for UK gyms and studios on using booking automation, waitlists, reminders, and rebooking journeys to fill more classes and reduce no-shows.","2049","30512","BlogPosting | BreadcrumbList | ImageObject | ListItem | Organization | WebPage","true","yes","200","https://silverstone-ai.com/blog/gym-booking-automation-uk-gyms-studios-2026","1","0","false","3","21","blog/quote-chase-automation-uk-trades-accepted-jobs-2026.html","0.9943","true","false","true","retain","refactor","refactor","repository evidence + live HTTP + live browser","3 images lack width/height"
"canonical:/blog/post-purchase-automation-uk-ecommerce-repeat-customers","blog/post-purchase-automation-uk-ecommerce-repeat-customers.html","blog","/blog/post-purchase-automation-uk-ecommerce-repeat-customers","https://silverstone-ai.com/blog/post-purchase-automation-uk-ecommerce-repeat-customers","Post-Purchase Automation for UK eCommerce | Silverstone AI","Post‑Purchase Automation for UK eCommerce: 7 Simple Systems That Turn One‑Time Buyers into Repeat Customers","A practical UK guide to seven post-purchase automations that recover lost revenue, reduce support load, and turn first orders into repeat customers.","1987","30790","BlogPosting | BreadcrumbList | ImageObject | ListItem | Organization | WebPage","true","yes","200","https://silverstone-ai.com/blog/post-purchase-automation-uk-ecommerce-repeat-customers","1","0","false","3","21","blog/ai-etas-smart-scheduling-uk-trades-2026.html","0.9975","true","false","true","retain","refactor","refactor","repository evidence + live HTTP + live browser","3 images lack width/height"
"canonical:/blog/quote-chase-automation-uk-trades-accepted-jobs-2026","blog/quote-chase-automation-uk-trades-accepted-jobs-2026.html","blog","/blog/quote-chase-automation-uk-trades-accepted-jobs-2026","https://silverstone-ai.com/blog/quote-chase-automation-uk-trades-accepted-jobs-2026","Quote Chase Automation for UK Trades | Silverstone AI","Quote Chase Automation for UK Trades: Win More Accepted Jobs Without Spending Evenings on Follow-Ups","A practical guide for UK trades firms on automating quote follow-up, reducing admin, and recovering more accepted jobs without spending evenings chasing.","1866","27759","BlogPosting | BreadcrumbList | ImageObject | ListItem | Organization","true","yes","200","https://silverstone-ai.com/blog/quote-chase-automation-uk-trades-accepted-jobs-2026","1","0","false","2","20","blog/ai-etas-smart-scheduling-uk-trades-2026.html","0.9968","true","false","true","retain","refactor","refactor","repository evidence + live HTTP + live browser","3 images lack width/height; search-intent overlap requires migration-owner decision"
"canonical:/blog/quote-follow-up-automation-uk-trades-2026","blog/quote-follow-up-automation-uk-trades-2026.html","blog","/blog/quote-follow-up-automation-uk-trades-2026","https://silverstone-ai.com/blog/quote-follow-up-automation-uk-trades-2026","Quote Follow-Up Automation for UK Trades | Silverstone AI","Quote Follow-Up Automation for UK Trades: Win More Jobs Without Chasing Every Lead Yourself","A practical guide to quote follow-up automation for UK trades businesses in 2026, covering reminders, missed-call capture, compliance, rollout steps, and ROI.","2026","29795","BlogPosting | BreadcrumbList | ImageObject | ListItem | Organization | WebPage","true","yes","200","https://silverstone-ai.com/blog/quote-follow-up-automation-uk-trades-2026","1","0","false","3","21","blog/quote-chase-automation-uk-trades-accepted-jobs-2026.html","0.9965","true","false","true","retain","refactor","refactor","repository evidence + live HTTP + live browser","3 images lack width/height; search-intent overlap requires migration-owner decision"
